gap_type,alpha,xmin_s,xmin_h
global,1.593709,35.000000,0.009722
global,1.465342,1341.000000,0.372500
global,1.475316,691.000000,0.191944
global,4.264295,26909.000000,7.474722
global,3.332534,48257.000000,13.404722
global,6.440532,42413.000000,11.781389
global,1.323241,288.000000,0.080000
global,1.478028,37.000000,0.010278
global,2.904252,35083.000000,9.745278
global,2.381151,34526.000000,9.590556
global,3.303812,36844.000000,10.234444
global,1.543278,808.000000,0.224444
global,1.853549,10305.000000,2.862500
global,1.451017,155.000000,0.043056
global,1.339706,92.000000,0.025556
global,110.190976,44000.000000,12.222222
global,1.686966,2818.000000,0.782778
global,1.514155,71.000000,0.019722
global,1.310914,15.000000,0.004167
global,3.752318,28575.000000,7.937500
global,3.353269,33628.000000,9.341111
global,3.211748,41302.000000,11.472778
global,1.758722,8250.000000,2.291667
global,1.359243,55.000000,0.015278
global,1.541720,166.000000,0.046111
global,1.415536,137.000000,0.038056
global,1.308570,56.000000,0.015556
global,1.214055,12.000000,0.003333
global,1.728581,65.000000,0.018056
global,1.904579,3298.000000,0.916111
global,1.358736,29.000000,0.008056
global,6772.494495,14399.000000,3.999722
global,1.775241,5065.000000,1.406944
global,1.334935,83.000000,0.023056
global,2.019036,5510.000000,1.530556
global,1.367910,46.000000,0.012778
global,1.971202,3059.000000,0.849722
global,2.312866,12418.000000,3.449444
global,1.531382,238.000000,0.066111
global,1.521363,1740.000000,0.483333
global,1.792514,3804.000000,1.056667
global,1.606231,301.000000,0.083611
global,1.857022,5371.000000,1.491944
global,11.248334,91282.000000,25.356111
global,1.290209,125.000000,0.034722
global,2.755585,51681.000000,14.355833
global,1.453243,32.000000,0.008889
global,1.362821,213.000000,0.059167
global,1.942513,3063.000000,0.850833
global,1.852105,4866.000000,1.351667
global,2.285263,26520.000000,7.366667
global,2.004482,3288.000000,0.913333
global,4.105999,28633.000000,7.953611
global,1.647484,287.000000,0.079722
global,1.377095,32.000000,0.008889
global,3.223207,31234.000000,8.676111
global,1.262028,90.000000,0.025000
global,1.364270,237.000000,0.065833
global,3.046667,36213.000000,10.059167
global,3.283768,5206.000000,1.446111
global,1.613308,94.000000,0.026111
global,1.274254,24.000000,0.006667
global,1.249144,31.000000,0.008611
global,2.673168,28227.000000,7.840833
global,1.765819,4482.000000,1.245000
global,1.301301,12.000000,0.003333
global,1.621534,853.000000,0.236944
global,2.225163,11637.000000,3.232500
global,2.496996,37.000000,0.010278
global,1.728129,3176.000000,0.882222
global,4.202942,55895.000000,15.526389
global,2.179459,18685.000000,5.190278
global,1.734884,4680.000000,1.300000
global,3.323329,71549.000000,19.874722
global,1.739939,4469.000000,1.241389
global,1.376899,346.000000,0.096111
global,1.451831,114.000000,0.031667
global,1.322227,84.000000,0.023333
global,2.020850,2211.000000,0.614167
global,1.709231,4578.000000,1.271667
global,1.520509,2400.000000,0.666667
global,1.398181,233.000000,0.064722
global,1.631475,4463.000000,1.239722
global,1.370539,85.000000,0.023611
global,3.467539,55050.000000,15.291667
global,1.618175,220.000000,0.061111
global,1.955515,4475.000000,1.243056
global,1.523043,1861.000000,0.516944
global,1.396621,283.000000,0.078611
global,1.240766,3.000000,0.000833
global,1.433316,70.000000,0.019444
global,1.544172,1136.000000,0.315556
global,1.751185,2234.000000,0.620556
global,1.795304,5048.000000,1.402222
global,1.844893,4007.000000,1.113056
global,2.140859,2572.000000,0.714444
global,6.667510,63942.000000,17.761667
global,2.023985,9423.000000,2.617500
global,1.406614,47.000000,0.013056
global,2.719608,43128.000000,11.980000
global,1.310474,61.000000,0.016944
global,1.743218,9898.000000,2.749444
global,1.413086,107.000000,0.029722
global,3.296774,54819.000000,15.227500
global,1.409953,129.000000,0.035833
global,1.463219,121.000000,0.033611
global,1.403046,25.000000,0.006944
global,2.792291,34527.000000,9.590833
global,1.776835,26.000000,0.007222
global,2.791535,57327.000000,15.924167
global,1.615841,1930.000000,0.536111
global,1.833852,5076.000000,1.410000
global,1.895998,2455.000000,0.681944
global,1.414240,195.000000,0.054167
global,2.260786,12589.000000,3.496944
global,2.978098,32715.000000,9.087500
global,1.627316,286.000000,0.079444
global,3.286883,40698.000000,11.305000
global,1.569356,73.000000,0.020278
global,1.977872,1478.000000,0.410556
global,1.491479,360.000000,0.100000
global,1.979044,7295.000000,2.026389
global,2.473832,36548.000000,10.152222
global,1.708456,2733.000000,0.759167
global,1.687286,4581.000000,1.272500
global,1.927618,3432.000000,0.953333
global,1.550794,1413.000000,0.392500
global,3.041339,18295.000000,5.081944
global,2.721345,30831.000000,8.564167
global,1.848823,2140.000000,0.594444
global,4.567908,58926.000000,16.368333
global,3.973023,19305.000000,5.362500
global,2.470577,28889.000000,8.024722
global,1.518150,83.000000,0.023056
global,2.715347,20977.000000,5.826944
global,2.313648,5683.000000,1.578611
global,1.972729,2886.000000,0.801667
global,2.186167,2877.000000,0.799167
global,1.811993,3852.000000,1.070000
global,1.534701,294.000000,0.081667
global,1.638155,2508.000000,0.696667
global,1.307635,145.000000,0.040278
global,1.536502,546.000000,0.151667
global,2.715953,2242.000000,0.622778
global,1.263207,18.000000,0.005000
global,1.314629,81.000000,0.022500
global,3.730058,38414.000000,10.670556
global,2.591747,22872.000000,6.353333
global,1.542328,3143.000000,0.873056
global,1.682892,1143.000000,0.317500
global,1.671412,5360.000000,1.488889
global,1.936623,8740.000000,2.427778
global,4.224761,65870.000000,18.297222
global,1.440451,238.000000,0.066111
global,1.427462,1664.000000,0.462222
global,1.600716,108.000000,0.030000
global,1.773004,559.000000,0.155278
global,2.860898,28727.000000,7.979722
global,1.574351,287.000000,0.079722
global,1.823237,1142.000000,0.317222
global,1.476185,855.000000,0.237500
global,1.270645,53.000000,0.014722
global,3.852150,18699.000000,5.194167
global,3.925552,48614.000000,13.503889
global,1.978331,7246.000000,2.012778
global,1.434332,187.000000,0.051944
global,1.632979,280.000000,0.077778
global,1.277852,22.000000,0.006111
global,3.254800,37848.000000,10.513333
global,1.350629,92.000000,0.025556
global,2.059420,2644.000000,0.734444
global,1.533975,69.000000,0.019167
global,3.921677,42968.000000,11.935556
