84 448 1575 creation 41.92877960205078
84 482 1506 creation 44.56163787841797
84 1148 2445 creation 97.26638793945312
84 1652 9576 creation 135.53257751464844
84 1990 9635 creation 155.7947540283203
84 2228 9262 creation 172.09011840820312
84 2306 1468 creation 175.98094177246094
84 2332 2675 creation 177.9512950181961
84 3239 7179 creation 227.83702087402344
84 3897 1875 creation 261.26576948165894
84 4088 2635 creation 270.9932632446289
84 4143 2815 creation 273.5315170288086
84 4429 3135 creation 287.8578643798828
84 4550 1204 creation 293.78265380859375
84 4662 5836 creation 299.147216796875
84 5479 3995 creation 335.3402099609375
84 5716 9700 creation 346.4044473171234
84 5723 1274 creation 346.9138870239258
84 5842 6287 creation 352.39404296875
84 6101 1300 creation 363.2573699951172
84 6382 658 creation 374.29156517982483
84 6577 2515 creation 382.33430004119873
84 6877 5658 creation 394.41168212890625
84 7243 4196 creation 408.91255605220795
84 7527 2205 creation 418.90716552734375
84 8195 9160 creation 443.5839653015137
84 8281 9453 creation 446.5015563964844
84 8608 5045 creation 458.468505859375
84 9039 1516 creation 474.9866409301758
84 9246 9272 creation 481.9752197265625
84 9255 4710 creation 482.27984619140625
84 9469 3826 creation 489.9313659667969
84 10075 2705 creation 510.727499961853
84 10430 9522 creation 523.7811698913574
84 10583 9392 creation 528.5128784179688
84 10965 5982 creation 539.9993622303009
84 11058 4330 creation 542.9938354492188
84 11140 6169 creation 545.8818206787109
84 11245 7794 creation 549.2498415708542
84 11818 631 creation 567.3467140197754
84 12083 3015 creation 575.0892333984375
84 12371 5982 creation 584.3615219593048
84 12588 5939 creation 591.5054321289062
84 12649 5330 creation 593.5213928222656
84 12687 7424 creation 594.493465423584
84 12737 7810 creation 596.1453399658203
84 12893 246 creation 601.3182220458984
84 12987 6071 creation 604.1627111434937
84 12999 3574 creation 604.5729142427444
84 13257 9718 creation 612.430447101593
84 13403 8099 creation 616.5352493524551
84 13550 5107 creation 620.8292865753174
84 13801 2958 creation 628.2713851928711
84 13894 4557 creation 631.3523468971252
84 14070 3446 creation 636.4812163114548
84 14524 8904 creation 650.095703125
84 14646 4269 creation 653.8435668945312
84 15113 6110 creation 668.0387573242188
84 15492 1207 creation 678.0054552555084
84 15815 2222 creation 686.6366271972656
84 15835 9450 creation 687.2838242053986
84 15997 1933 creation 691.8368530273438
84 16913 8344 creation 717.8888033628464
84 17279 5520 creation 727.3440933227539
84 17497 2705 creation 732.3961982727051
84 17801 9735 creation 740.2057476043701
84 18230 1085 creation 751.2137317657471
84 18277 9187 creation 752.3374654054642
84 18441 2506 creation 756.778450012207
84 18780 442 creation 765.7520370483398
84 18835 1469 creation 767.0125527381897
84 18981 3720 creation 771.0075588226318
84 19475 1923 creation 784.162109375
84 19591 3029 creation 787.7913818359375
84 20080 941 creation 800.0643997192383
84 20291 7425 creation 805.2839107513428
84 20342 7325 creation 806.5480346679688
84 20712 9168 creation 816.1448516845703
84 20885 3579 creation 820.759087562561
84 21125 314 creation 827.1685791015625
84 21416 5563 creation 834.2245483398438
84 21728 7910 creation 841.5241034030914
84 24010 8099 creation 895.2964651584625
84 24033 7785 creation 895.7414474487305
84 24476 132 creation 905.6953735351562
84 24575 5589 creation 907.9408569335938
84 26000 9465 creation 939.1656551361084
84 26030 4248 creation 939.904951095581
84 26168 1638 creation 943.0320253372192
84 26240 3839 creation 944.5898971557617
84 26559 9663 creation 951.6899127960205
84 26687 9701 creation 954.6338500976562
84 27379 9028 creation 968.8371391296387
84 27866 7780 creation 979.6622200012207
84 27935 2465 creation 981.3138949871063
84 28087 4125 creation 984.1885776519775
84 28131 8505 creation 984.9098968505859
84 28473 6636 creation 992.6421160697937
84 28571 2214 creation 994.9042205810547
84 29040 6395 creation 1015.5783195495605
84 29221 1222 creation 1027.945125579834
84 29251 6636 creation 1030.496051311493
84 29616 8965 creation 1058.393590927124
84 29657 1434 creation 1061.8793239593506
84 29863 8099 creation 1078.9126909971237
84 29889 9962 creation 1081.217378616333
84 30324 1033 creation 1126.186378479004
84 30330 2570 creation 1127.0023155212402
84 30853 8099 creation 1198.4306149482727
84 30882 8494 creation 1203.5247344970703
84 31068 5677 creation 1234.5953664779663
84 31703 3931 creation 1371.1983222961426
84 31830 2263 creation 1411.0314483642578
84 31986 6333 creation 1460.0419750213623
84 32213 7271 creation 1524.2144738435745
84 32740 5967 creation 1726.331428527832
84 33017 7479 creation 1837.984188079834
84 33176 6094 creation 1913.3594646453857
84 33178 216 creation 1913.904623746872
84 33480 216 creation 2055.2492530345917
84 33491 7271 creation 2059.2353146076202
84 34091 5878 creation 2351.944661140442
84 34314 6941 creation 2484.4814405441284
84 34467 410 creation 2595.0801257938147
84 34511 9735 creation 2629.2111415863037
84 34520 4201 creation 2634.902222633362
84 35060 9901 creation 2971.6474299430847
84 35165 9476 creation 3063.8735570907593
84 35250 9735 creation 3121.539571762085
84 35842 9240 creation 3496.6818265914917
84 35866 5257 creation 3508.4839559793472
84 35917 7715 creation 3534.324479818344
84 36333 9040 creation 3768.8349237442017
84 36484 9735 creation 3896.3718957901
84 36895 8253 creation 4200.579489946365
84 37121 8395 creation 4375.975604057312
84 37366 9476 creation 4616.700590610504
84 37430 9476 creation 4683.392995119095
84 37582 9476 creation 4788.456262588501
84 37960 7916 creation 5105.083172798157
84 38217 2757 creation 5372.672957398463
84 38351 7952 creation 5468.895698547363
84 38371 9306 creation 5487.337929725647
84 38833 7715 creation 5778.448721885681
84 38845 9476 creation 5784.367033958435
43 448 9360 creation 42.438819885253906
43 482 7003 creation 45.26002502441406
43 1148 5424 creation 101.03912353515625
43 1652 2326 creation 137.7385368347168
43 1990 7882 creation 161.30233764648438
43 2228 3574 creation 176.96038615703583
